,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
0,1.0,1,0,1,0.0,5720,0,110.0,360.0,1.0,Urban
1,1.0,1,1,1,0.0,3076,1500,126.0,360.0,1.0,Urban
2,1.0,1,2,1,0.0,5000,1800,208.0,360.0,1.0,Urban
3,1.0,1,2,1,0.0,2340,2546,100.0,360.0,,Urban
4,1.0,0,0,0,0.0,3276,0,78.0,360.0,1.0,Urban
5,1.0,1,0,0,1.0,2165,3422,152.0,360.0,1.0,Urban
6,0.0,0,1,0,0.0,2226,0,59.0,360.0,1.0,Semiurban
7,1.0,1,2,0,0.0,3881,0,147.0,360.0,0.0,Rural
8,1.0,1,2,1,,13633,0,280.0,240.0,1.0,Urban
9,1.0,0,0,0,0.0,2400,2400,123.0,360.0,1.0,Semiurban
10,1.0,0,0,0,0.0,3091,0,90.0,360.0,1.0,Urban
11,1.0,1,1,1,,2185,1516,162.0,360.0,1.0,Semiurban
12,1.0,0,3+,1,0.0,4166,0,40.0,180.0,,Urban
13,1.0,1,2,1,,12173,0,166.0,360.0,0.0,Semiurban
14,0.0,0,0,1,0.0,4666,0,124.0,360.0,1.0,Semiurban
15,1.0,0,1,1,0.0,5667,0,131.0,360.0,1.0,Urban
16,1.0,1,2,1,0.0,4583,2916,200.0,360.0,1.0,Urban
17,1.0,1,3+,1,0.0,3786,333,126.0,360.0,1.0,Semiurban
18,1.0,1,0,1,0.0,9226,7916,300.0,360.0,1.0,Urban
19,1.0,0,0,1,0.0,1300,3470,100.0,180.0,1.0,Semiurban
20,1.0,1,1,0,0.0,1888,1620,48.0,360.0,1.0,Urban
21,0.0,0,3+,0,0.0,2083,0,28.0,180.0,1.0,Urban
22,,0,0,1,0.0,3909,0,101.0,360.0,1.0,Urban
23,0.0,0,0,0,0.0,3765,0,125.0,360.0,1.0,Urban
24,1.0,1,0,1,0.0,5400,4380,290.0,360.0,1.0,Urban
25,1.0,0,0,1,0.0,0,24000,148.0,360.0,0.0,Rural
26,1.0,1,2,1,0.0,4363,1250,140.0,360.0,,Urban
27,1.0,1,0,1,0.0,7500,3750,275.0,360.0,1.0,Urban
28,1.0,1,0,1,0.0,3772,833,57.0,360.0,,Semiurban
29,1.0,0,0,1,0.0,2942,2382,125.0,180.0,1.0,Urban
30,0.0,0,0,0,0.0,2478,0,75.0,360.0,1.0,Semiurban
31,1.0,1,2,1,0.0,6250,820,192.0,360.0,1.0,Urban
32,1.0,0,0,1,0.0,3268,1683,152.0,360.0,1.0,Semiurban
33,1.0,1,0,1,0.0,2783,2708,158.0,360.0,1.0,Urban
34,1.0,1,0,1,0.0,2740,1541,101.0,360.0,1.0,Urban
35,1.0,0,0,1,0.0,3150,0,176.0,360.0,0.0,Semiurban
36,1.0,1,2,1,,7350,4029,185.0,180.0,1.0,Urban
37,1.0,1,0,1,1.0,2267,2792,90.0,360.0,1.0,Urban
38,1.0,0,0,1,1.0,5833,0,116.0,360.0,1.0,Urban
39,1.0,0,0,1,0.0,3643,1963,138.0,360.0,1.0,Urban
40,1.0,1,0,1,0.0,5629,818,100.0,360.0,1.0,Urban
41,0.0,0,0,1,0.0,3644,0,110.0,360.0,1.0,Urban
42,1.0,1,0,0,0.0,1750,2024,90.0,360.0,1.0,Semiurban
43,1.0,0,0,1,0.0,6500,2600,200.0,360.0,1.0,Semiurban
44,0.0,0,0,1,0.0,3666,0,84.0,360.0,1.0,Urban
45,1.0,1,0,1,0.0,4260,3900,185.0,,,Urban
46,1.0,1,,0,0.0,4163,1475,162.0,360.0,1.0,Urban
47,1.0,0,0,0,0.0,2356,1902,108.0,360.0,1.0,Semiurban
48,1.0,0,0,1,0.0,6792,3338,187.0,,1.0,Urban
49,1.0,1,3+,0,1.0,8000,250,187.0,360.0,1.0,Semiurban
50,1.0,1,1,1,0.0,2419,1707,124.0,360.0,1.0,Urban
51,,1,3+,0,0.0,3500,833,120.0,360.0,1.0,Semiurban
52,1.0,1,1,1,0.0,3500,3077,160.0,360.0,1.0,Semiurban
53,1.0,1,2,1,0.0,4116,1000,30.0,180.0,1.0,Urban
54,1.0,1,0,0,1.0,5293,0,92.0,360.0,1.0,Urban
55,1.0,0,0,1,0.0,2750,0,130.0,360.0,0.0,Urban
56,0.0,0,0,0,0.0,4402,0,130.0,360.0,1.0,Rural
57,1.0,1,2,1,0.0,3613,3539,134.0,180.0,1.0,Semiurban
58,0.0,1,2,1,0.0,2779,3664,176.0,360.0,0.0,Semiurban
59,1.0,1,3+,1,0.0,4720,0,90.0,180.0,1.0,Semiurban
60,1.0,1,0,0,0.0,2415,1721,110.0,360.0,1.0,Semiurban
61,1.0,1,0,1,1.0,7016,292,125.0,360.0,1.0,Urban
62,0.0,0,2,1,0.0,4968,0,189.0,360.0,1.0,Semiurban
63,0.0,0,0,1,0.0,2101,1500,108.0,360.0,0.0,Rural
64,1.0,1,3+,0,0.0,4490,0,125.0,360.0,1.0,Urban
65,1.0,1,0,1,0.0,2917,3583,138.0,360.0,1.0,Semiurban
66,1.0,1,0,0,0.0,4700,0,135.0,360.0,0.0,Semiurban
67,1.0,1,0,1,0.0,3445,0,130.0,360.0,0.0,Semiurban
68,1.0,1,0,1,0.0,7666,0,187.0,360.0,1.0,Semiurban
69,1.0,1,0,1,0.0,2458,5105,188.0,360.0,0.0,Rural
70,0.0,0,,1,0.0,3250,0,95.0,360.0,1.0,Semiurban
71,1.0,0,0,1,0.0,4463,0,65.0,360.0,1.0,Semiurban
72,1.0,1,1,1,,4083,1775,139.0,60.0,1.0,Urban
73,1.0,1,0,1,1.0,3900,2094,232.0,360.0,1.0,Rural
74,1.0,1,0,0,0.0,4750,3583,144.0,360.0,1.0,Semiurban
75,1.0,0,0,1,0.0,3583,3435,155.0,360.0,1.0,Urban
76,1.0,1,0,1,0.0,3189,2367,186.0,360.0,1.0,Urban
77,1.0,0,0,1,1.0,6356,0,50.0,360.0,1.0,Rural
78,1.0,1,1,1,0.0,3413,4053,,360.0,1.0,Semiurban
79,0.0,1,0,1,0.0,7950,0,185.0,360.0,1.0,Urban
80,1.0,1,3+,1,0.0,3829,1103,163.0,360.0,0.0,Urban
81,1.0,1,3+,1,0.0,72529,0,360.0,360.0,1.0,Urban
82,1.0,1,2,0,0.0,4136,0,149.0,480.0,0.0,Rural
83,1.0,1,0,1,0.0,8449,0,257.0,360.0,1.0,Rural
84,1.0,1,0,1,0.0,4456,0,131.0,180.0,0.0,Semiurban
85,1.0,1,2,1,0.0,4635,8000,102.0,180.0,1.0,Rural
86,1.0,1,0,1,0.0,3571,1917,135.0,360.0,1.0,Urban
87,1.0,0,0,1,0.0,3066,0,95.0,360.0,1.0,Semiurban
88,1.0,0,2,0,0.0,3235,2015,77.0,360.0,1.0,Semiurban
89,0.0,0,0,1,,5058,0,200.0,360.0,1.0,Rural
90,1.0,1,0,1,1.0,3188,2286,130.0,360.0,,Rural
91,1.0,1,3+,1,0.0,13518,0,390.0,360.0,1.0,Rural
92,1.0,1,1,1,0.0,4364,2500,185.0,360.0,1.0,Semiurban
93,1.0,1,2,0,0.0,4766,1646,100.0,360.0,1.0,Semiurban
94,1.0,1,1,1,0.0,4609,2333,123.0,360.0,0.0,Semiurban
95,0.0,1,3+,1,0.0,6260,0,110.0,360.0,1.0,Semiurban
96,1.0,1,1,1,0.0,3333,4200,256.0,360.0,1.0,Urban
97,1.0,1,0,1,0.0,3500,3250,140.0,360.0,1.0,Semiurban
98,1.0,1,3+,1,0.0,9719,0,61.0,360.0,1.0,Urban
99,1.0,1,3+,1,0.0,6835,0,188.0,360.0,,Semiurban
100,1.0,0,0,1,0.0,4452,0,131.0,360.0,1.0,Rural
101,0.0,1,0,1,0.0,2262,0,,480.0,0.0,Semiurban
102,1.0,1,1,1,0.0,3901,0,116.0,360.0,1.0,Urban
103,1.0,1,2,0,0.0,2687,0,50.0,180.0,1.0,Rural
104,1.0,0,0,1,0.0,2243,2233,107.0,360.0,,Semiurban
105,0.0,1,0,1,0.0,3417,1287,200.0,360.0,1.0,Semiurban
106,,0,0,1,0.0,1596,1760,119.0,360.0,0.0,Urban
107,1.0,1,3+,1,0.0,4513,0,120.0,360.0,1.0,Rural
108,1.0,1,0,1,0.0,4500,0,140.0,360.0,1.0,Semiurban
109,1.0,1,0,0,0.0,4523,1350,165.0,360.0,1.0,Urban
110,0.0,0,0,1,1.0,4742,0,108.0,360.0,1.0,Semiurban
111,1.0,1,,1,0.0,4082,0,93.0,360.0,1.0,Semiurban
112,0.0,0,0,1,0.0,3417,0,102.0,360.0,1.0,Urban
113,0.0,1,2,1,0.0,2922,3396,122.0,360.0,1.0,Semiurban
114,1.0,1,0,1,0.0,4167,4754,160.0,360.0,1.0,Rural
115,1.0,0,3+,1,0.0,4243,4123,157.0,360.0,,Semiurban
116,0.0,0,0,0,0.0,0,1760,180.0,360.0,1.0,Semiurban
117,1.0,1,1,1,0.0,1516,2900,80.0,,0.0,Rural
118,0.0,0,0,1,0.0,1762,2666,104.0,360.0,0.0,Urban
119,1.0,1,2,1,0.0,724,3510,213.0,360.0,0.0,Rural
120,1.0,0,0,1,0.0,3125,0,65.0,360.0,1.0,Urban
121,1.0,1,0,1,0.0,2333,3803,146.0,360.0,1.0,Rural
122,1.0,1,3+,1,0.0,3350,1560,135.0,360.0,1.0,Urban
123,1.0,0,0,1,0.0,2500,6414,187.0,360.0,0.0,Rural
124,0.0,0,0,1,0.0,12500,0,300.0,360.0,0.0,Urban
125,1.0,0,0,1,0.0,4667,0,120.0,360.0,1.0,Semiurban
126,1.0,0,0,1,0.0,6500,0,71.0,360.0,0.0,Urban
127,1.0,1,2,1,0.0,7500,0,225.0,360.0,1.0,Urban
128,1.0,0,0,1,0.0,3073,0,70.0,180.0,1.0,Urban
129,1.0,1,1,0,0.0,3321,2088,70.0,,1.0,Semiurban
130,1.0,1,0,1,0.0,3333,1270,124.0,360.0,1.0,Urban
131,1.0,0,0,1,0.0,3391,0,132.0,360.0,1.0,Rural
132,1.0,1,1,1,1.0,3343,1517,105.0,360.0,1.0,Rural
133,0.0,0,1,1,0.0,3620,0,90.0,360.0,1.0,Urban
134,1.0,0,0,1,0.0,4000,0,83.0,84.0,1.0,Urban
135,1.0,1,0,1,0.0,4258,0,125.0,360.0,1.0,Urban
136,1.0,1,2,1,0.0,4500,0,147.0,360.0,1.0,Rural
137,1.0,1,1,1,0.0,2014,2925,120.0,360.0,1.0,Rural
138,,0,,1,0.0,3333,1250,110.0,360.0,1.0,Semiurban
139,0.0,0,3+,1,0.0,4083,0,103.0,360.0,,Semiurban
140,1.0,0,0,1,0.0,4727,0,150.0,360.0,0.0,Rural
141,1.0,1,3+,1,0.0,3089,2999,100.0,240.0,1.0,Rural
142,1.0,1,3+,0,,6794,528,139.0,360.0,0.0,Urban
143,1.0,1,0,1,1.0,32000,0,550.0,360.0,,Semiurban
144,1.0,1,2,1,1.0,10890,0,260.0,12.0,1.0,Rural
145,0.0,0,0,1,0.0,12941,0,150.0,300.0,1.0,Urban
146,1.0,0,0,0,0.0,3276,0,90.0,360.0,1.0,Semiurban
147,1.0,0,0,0,1.0,8703,0,199.0,360.0,0.0,Rural
148,1.0,1,1,1,0.0,4742,717,139.0,360.0,1.0,Semiurban
149,1.0,0,0,1,0.0,5900,0,150.0,360.0,1.0,Urban
150,1.0,0,0,1,0.0,3071,4309,180.0,360.0,1.0,Urban
151,1.0,1,0,1,0.0,2783,1456,113.0,360.0,1.0,Urban
152,1.0,0,0,1,0.0,5000,0,148.0,360.0,1.0,Rural
153,1.0,1,1,0,0.0,2463,2360,117.0,360.0,0.0,Urban
154,1.0,1,2,1,0.0,4855,0,72.0,360.0,1.0,Rural
155,1.0,0,0,0,1.0,1599,2474,125.0,300.0,1.0,Semiurban
156,1.0,1,2,1,1.0,4246,4246,214.0,360.0,1.0,Urban
157,1.0,1,0,1,0.0,4333,2291,133.0,350.0,1.0,Rural
158,1.0,0,1,1,0.0,5823,2529,187.0,360.0,1.0,Semiurban
159,1.0,1,0,0,0.0,7895,0,143.0,360.0,1.0,Rural
160,1.0,0,0,1,0.0,4150,4256,209.0,360.0,1.0,Rural
161,1.0,0,0,1,,2964,0,84.0,360.0,0.0,Semiurban
162,1.0,0,0,1,0.0,5583,0,116.0,360.0,1.0,Urban
163,0.0,0,0,1,0.0,2708,0,65.0,360.0,1.0,Rural
164,1.0,0,1,1,0.0,3180,2370,80.0,240.0,,Rural
165,1.0,0,0,0,0.0,2268,0,170.0,360.0,0.0,Semiurban
166,1.0,0,2,0,0.0,1141,2017,120.0,360.0,0.0,Urban
167,1.0,1,0,1,0.0,3042,3167,135.0,360.0,1.0,Urban
168,0.0,1,3+,1,,1750,2935,94.0,360.0,0.0,Semiurban
169,0.0,1,1,1,0.0,3564,0,79.0,360.0,1.0,Rural
170,0.0,0,0,1,0.0,3958,0,110.0,360.0,1.0,Rural
171,1.0,1,2,0,0.0,4483,0,130.0,360.0,1.0,Rural
172,1.0,1,0,1,0.0,5225,0,143.0,360.0,1.0,Rural
173,1.0,0,0,1,0.0,3017,2845,159.0,180.0,0.0,Urban
174,1.0,1,0,0,0.0,2431,1820,110.0,360.0,0.0,Rural
175,1.0,1,2,1,,4912,4614,160.0,360.0,1.0,Rural
176,1.0,1,2,0,0.0,2500,3333,131.0,360.0,1.0,Urban
177,0.0,0,0,1,0.0,2918,0,65.0,360.0,,Rural
178,1.0,1,2,1,0.0,5128,0,143.0,360.0,1.0,Rural
179,1.0,1,3+,1,0.0,15312,0,187.0,360.0,,Urban
180,1.0,1,2,1,0.0,3958,2632,160.0,360.0,1.0,Semiurban
181,1.0,1,0,1,0.0,4334,2945,165.0,360.0,1.0,Semiurban
182,1.0,1,2,1,0.0,4358,0,110.0,360.0,1.0,Urban
183,0.0,1,1,1,0.0,4000,3917,173.0,360.0,1.0,Rural
184,1.0,1,3+,1,0.0,10166,750,150.0,,1.0,Urban
185,1.0,1,0,0,0.0,4483,0,135.0,360.0,,Semiurban
186,1.0,1,2,0,0.0,4521,1184,150.0,360.0,1.0,Semiurban
187,1.0,1,2,1,0.0,9167,0,235.0,360.0,1.0,Semiurban
188,1.0,1,0,0,0.0,13083,0,,360.0,1.0,Rural
189,1.0,1,2,1,0.0,7874,3967,336.0,360.0,1.0,Rural
190,0.0,1,1,1,0.0,4333,0,132.0,84.0,1.0,Rural
191,1.0,0,0,1,0.0,4083,0,96.0,360.0,1.0,Urban
192,1.0,1,2,0,,3785,2912,180.0,360.0,0.0,Rural
193,1.0,1,3+,0,0.0,2654,1998,128.0,360.0,0.0,Rural
194,1.0,1,1,1,0.0,10000,2690,412.0,360.0,1.0,Semiurban
195,1.0,0,0,1,1.0,5833,0,116.0,360.0,1.0,Urban
196,1.0,1,1,1,0.0,4796,0,114.0,360.0,0.0,Semiurban
197,1.0,1,0,0,0.0,2000,1600,115.0,360.0,1.0,Rural
198,1.0,1,2,1,0.0,2540,700,104.0,360.0,0.0,Urban
199,1.0,1,0,1,1.0,1900,1442,88.0,360.0,1.0,Rural
200,1.0,1,0,1,1.0,8706,0,108.0,480.0,1.0,Rural
201,1.0,1,3+,0,0.0,2855,542,90.0,360.0,1.0,Urban
202,1.0,1,,1,0.0,3016,1300,100.0,360.0,,Urban
203,0.0,1,0,1,0.0,3159,2374,108.0,360.0,1.0,Semiurban
204,0.0,0,0,1,0.0,1937,1152,78.0,360.0,1.0,Semiurban
205,1.0,1,0,1,0.0,2613,2417,123.0,360.0,1.0,Semiurban
206,1.0,1,1,1,0.0,4960,2600,187.0,360.0,1.0,Semiurban
207,1.0,1,1,1,0.0,3074,1083,146.0,360.0,1.0,Semiurban
208,0.0,0,0,1,0.0,4213,0,80.0,360.0,1.0,Urban
209,,0,1,0,0.0,2038,4027,100.0,360.0,1.0,Rural
210,0.0,0,0,1,0.0,2362,0,55.0,360.0,1.0,Urban
211,1.0,0,0,1,0.0,5333,2400,200.0,360.0,0.0,Rural
212,1.0,1,3+,1,1.0,5384,0,150.0,360.0,1.0,Semiurban
213,1.0,0,0,1,0.0,5708,0,150.0,360.0,1.0,Rural
214,1.0,1,0,0,0.0,3754,3719,118.0,,1.0,Rural
215,1.0,1,0,0,0.0,2914,2130,150.0,300.0,1.0,Urban
216,1.0,1,0,0,0.0,2747,2458,118.0,36.0,1.0,Semiurban
217,1.0,1,0,1,0.0,7830,2183,212.0,360.0,1.0,Rural
218,1.0,1,1,1,1.0,3507,3148,212.0,360.0,1.0,Rural
219,1.0,1,1,1,0.0,3747,2139,125.0,360.0,1.0,Urban
220,1.0,1,0,1,0.0,2166,2166,108.0,360.0,,Urban
221,1.0,1,0,0,0.0,3500,2168,149.0,360.0,1.0,Rural
222,1.0,1,2,0,0.0,2896,0,80.0,480.0,1.0,Urban
223,0.0,0,1,1,0.0,5062,0,152.0,300.0,1.0,Rural
224,0.0,0,2,1,1.0,5184,0,187.0,360.0,0.0,Semiurban
225,0.0,0,0,1,0.0,2545,0,74.0,360.0,1.0,Urban
226,1.0,1,0,1,0.0,2553,1768,102.0,360.0,1.0,Urban
227,1.0,1,1,1,0.0,3436,3809,100.0,360.0,1.0,Rural
228,1.0,0,0,1,0.0,2412,2755,130.0,360.0,1.0,Rural
229,1.0,1,3+,0,0.0,5180,0,125.0,360.0,0.0,Urban
230,1.0,0,0,1,0.0,14911,14507,130.0,360.0,1.0,Semiurban
231,,0,0,1,1.0,2860,2988,138.0,360.0,1.0,Urban
232,1.0,1,0,1,0.0,1173,1594,28.0,180.0,1.0,Rural
233,0.0,0,1,1,0.0,7600,0,92.0,360.0,1.0,Semiurban
234,0.0,1,0,1,0.0,2157,1788,104.0,360.0,1.0,Urban
235,1.0,0,0,1,0.0,2231,2774,176.0,360.0,0.0,Urban
236,0.0,0,0,1,0.0,2274,5211,117.0,360.0,0.0,Semiurban
237,1.0,1,2,0,0.0,6166,13983,102.0,360.0,1.0,Rural
238,1.0,1,2,0,0.0,2513,1110,107.0,360.0,1.0,Semiurban
239,1.0,0,0,1,0.0,4333,0,66.0,480.0,1.0,Urban
240,1.0,0,0,0,0.0,3844,0,105.0,360.0,1.0,Urban
241,1.0,1,0,1,0.0,3887,1517,105.0,360.0,0.0,Semiurban
242,1.0,1,0,1,0.0,3510,828,105.0,360.0,1.0,Semiurban
243,1.0,1,0,1,,2539,1704,125.0,360.0,0.0,Rural
244,0.0,0,0,0,0.0,2107,0,64.0,360.0,1.0,Semiurban
245,,1,0,1,0.0,3186,3145,150.0,180.0,0.0,Semiurban
246,1.0,1,2,1,1.0,5000,2166,150.0,360.0,1.0,Urban
247,1.0,1,,1,0.0,10000,0,,360.0,1.0,Urban
248,1.0,1,0,0,1.0,3943,0,64.0,360.0,1.0,Semiurban
249,1.0,0,0,1,0.0,2925,0,40.0,180.0,1.0,Rural
250,1.0,1,3+,1,0.0,3242,437,142.0,480.0,0.0,Urban
251,1.0,1,,1,0.0,3863,0,70.0,300.0,1.0,Semiurban
252,0.0,0,1,1,0.0,4028,0,131.0,360.0,1.0,Semiurban
253,1.0,1,2,1,0.0,4010,1025,120.0,360.0,1.0,Urban
254,0.0,1,1,1,0.0,3719,1585,114.0,360.0,1.0,Urban
255,1.0,0,0,1,,2858,0,123.0,360.0,0.0,Rural
256,0.0,1,0,1,0.0,3833,0,92.0,360.0,1.0,Rural
257,1.0,1,0,1,0.0,3333,4288,160.0,360.0,1.0,Urban
258,1.0,1,0,1,0.0,3007,3725,151.0,360.0,1.0,Rural
259,0.0,0,1,1,,1850,4583,81.0,360.0,,Rural
260,1.0,1,3+,0,0.0,2792,2619,171.0,360.0,1.0,Semiurban
261,1.0,1,0,1,0.0,2982,1550,110.0,360.0,1.0,Semiurban
262,1.0,0,0,1,0.0,3417,738,100.0,360.0,,Rural
263,1.0,1,1,1,0.0,18840,0,234.0,360.0,1.0,Rural
264,1.0,1,2,1,0.0,2995,1120,184.0,360.0,1.0,Rural
265,1.0,0,,1,0.0,3579,3308,138.0,360.0,,Semiurban
266,0.0,1,1,0,0.0,3835,1400,112.0,480.0,0.0,Urban
267,0.0,0,1,0,0.0,3854,3575,117.0,360.0,1.0,Rural
268,1.0,1,2,1,0.0,5833,750,49.0,360.0,0.0,Rural
269,1.0,0,0,1,0.0,3508,0,99.0,360.0,1.0,Rural
270,0.0,1,3+,0,0.0,1635,2444,99.0,360.0,1.0,Urban
271,0.0,0,0,1,1.0,3333,3916,212.0,360.0,1.0,Rural
272,1.0,0,1,1,0.0,24797,0,240.0,360.0,1.0,Semiurban
273,1.0,1,2,1,0.0,5667,440,130.0,360.0,0.0,Semiurban
274,0.0,0,0,1,0.0,3500,0,94.0,360.0,0.0,Semiurban
275,1.0,1,3+,1,0.0,2773,1497,108.0,360.0,1.0,Semiurban
276,1.0,1,0,1,,6500,0,144.0,360.0,1.0,Urban
277,0.0,0,0,1,0.0,5769,0,110.0,180.0,1.0,Semiurban
278,1.0,1,3+,0,,3634,910,176.0,360.0,0.0,Semiurban
279,,0,0,1,0.0,29167,0,185.0,360.0,1.0,Semiurban
280,1.0,0,0,1,0.0,2166,2057,122.0,360.0,1.0,Semiurban
281,1.0,1,0,1,0.0,5000,0,126.0,360.0,1.0,Rural
282,0.0,0,0,1,0.0,5530,0,135.0,360.0,,Urban
283,1.0,0,0,0,0.0,9000,0,122.0,360.0,1.0,Rural
284,0.0,1,2,1,0.0,10000,11666,460.0,360.0,1.0,Urban
285,1.0,1,1,1,,8750,0,297.0,360.0,1.0,Urban
286,1.0,1,0,0,0.0,2157,2730,140.0,360.0,,Rural
287,1.0,0,0,1,,1972,4347,106.0,360.0,1.0,Rural
288,1.0,0,0,1,0.0,4983,0,141.0,360.0,1.0,Urban
289,1.0,1,1,1,0.0,8333,4000,,360.0,1.0,Urban
290,1.0,1,0,1,0.0,3667,2000,170.0,360.0,1.0,Semiurban
291,1.0,1,2,1,0.0,3166,2833,145.0,360.0,1.0,Urban
292,1.0,0,0,0,0.0,3271,0,90.0,360.0,1.0,Rural
293,0.0,1,0,1,0.0,2241,2000,88.0,360.0,0.0,Urban
294,1.0,1,1,0,,1792,2565,128.0,360.0,1.0,Urban
295,0.0,1,0,1,0.0,2666,0,84.0,480.0,1.0,Semiurban
296,,0,0,1,0.0,6478,0,108.0,360.0,1.0,Semiurban
297,1.0,0,0,0,,3808,0,83.0,360.0,1.0,Rural
298,0.0,1,2,0,0.0,3729,0,117.0,360.0,1.0,Semiurban
299,1.0,1,2,1,0.0,4120,0,128.0,360.0,1.0,Rural
300,1.0,1,1,1,1.0,7500,0,75.0,360.0,1.0,Urban
301,1.0,1,1,1,,6300,0,125.0,360.0,0.0,Urban
302,0.0,0,,1,1.0,14987,0,177.0,360.0,1.0,Rural
303,,1,1,0,1.0,570,2125,68.0,360.0,1.0,Rural
304,1.0,1,0,1,0.0,2600,700,96.0,360.0,1.0,Semiurban
305,1.0,0,2,0,0.0,2733,1083,180.0,360.0,,Semiurban
306,1.0,1,2,1,1.0,7500,0,183.0,360.0,1.0,Rural
307,1.0,1,2,0,0.0,3859,0,121.0,360.0,1.0,Rural
308,1.0,1,1,1,0.0,6825,0,162.0,360.0,1.0,Rural
309,1.0,1,0,1,0.0,3708,4700,132.0,360.0,1.0,Semiurban
310,1.0,0,0,1,0.0,5314,0,147.0,360.0,1.0,Urban
311,0.0,0,3+,1,0.0,2366,5272,153.0,360.0,0.0,Rural
312,1.0,0,,1,0.0,2066,2108,104.0,84.0,1.0,Urban
313,1.0,1,2,1,0.0,5000,0,149.0,360.0,1.0,Rural
314,0.0,0,0,1,0.0,3767,0,134.0,300.0,1.0,Urban
315,0.0,1,0,1,0.0,7859,879,165.0,180.0,1.0,Semiurban
316,0.0,1,0,1,0.0,4283,0,120.0,360.0,1.0,Rural
317,1.0,1,0,0,0.0,1700,2900,67.0,360.0,0.0,Urban
318,,0,0,0,0.0,4768,0,125.0,360.0,1.0,Rural
319,1.0,0,0,1,0.0,3083,2738,120.0,360.0,1.0,Urban
320,1.0,1,1,1,0.0,2667,1542,148.0,360.0,1.0,Rural
321,0.0,1,0,0,0.0,1647,1762,181.0,360.0,1.0,Urban
322,1.0,1,3+,1,0.0,3400,0,80.0,120.0,1.0,Urban
323,1.0,0,1,1,,16000,5000,40.0,360.0,1.0,Semiurban
324,1.0,1,0,1,0.0,5333,0,90.0,360.0,1.0,Rural
325,1.0,0,0,1,0.0,2875,2416,95.0,6.0,0.0,Semiurban
326,1.0,1,1,0,,2600,618,122.0,360.0,1.0,Semiurban
327,1.0,1,2,1,0.0,5041,700,150.0,360.0,1.0,Urban
328,1.0,1,3+,1,1.0,6958,1411,150.0,360.0,1.0,Rural
329,1.0,1,1,1,0.0,3500,1658,104.0,360.0,,Semiurban
330,1.0,1,0,1,0.0,5509,0,143.0,360.0,1.0,Rural
331,1.0,1,3+,1,0.0,9699,0,300.0,360.0,1.0,Urban
332,0.0,1,1,0,0.0,3621,2717,171.0,360.0,1.0,Urban
333,0.0,1,0,1,0.0,4709,0,113.0,360.0,1.0,Semiurban
334,1.0,1,0,1,0.0,1516,1951,35.0,360.0,1.0,Semiurban
335,1.0,0,2,1,0.0,2400,0,46.0,360.0,1.0,Urban
336,0.0,0,0,0,0.0,3015,2000,145.0,360.0,,Urban
337,1.0,1,0,1,0.0,2292,1558,119.0,360.0,1.0,Urban
338,1.0,1,1,1,1.0,2360,3355,87.0,240.0,1.0,Rural
339,0.0,0,0,1,0.0,4333,2333,162.0,360.0,0.0,Rural
340,1.0,1,0,1,1.0,2623,4831,122.0,180.0,1.0,Semiurban
341,1.0,0,0,1,1.0,3972,4275,187.0,360.0,1.0,Rural
342,1.0,1,3+,0,0.0,3522,0,81.0,180.0,1.0,Rural
343,1.0,1,1,1,0.0,4700,0,80.0,360.0,1.0,Urban
344,1.0,0,0,1,0.0,6858,0,176.0,360.0,1.0,Rural
345,1.0,1,3+,1,0.0,8334,0,260.0,360.0,1.0,Urban
346,1.0,1,0,1,0.0,3391,1966,133.0,360.0,0.0,Rural
347,1.0,0,0,0,0.0,2868,0,70.0,360.0,1.0,Urban
348,1.0,1,2,0,0.0,3418,1380,135.0,360.0,1.0,Urban
349,1.0,1,0,1,1.0,2500,296,137.0,300.0,1.0,Rural
350,1.0,1,2,1,0.0,8667,0,254.0,360.0,1.0,Rural
351,1.0,0,0,1,0.0,2283,15000,106.0,360.0,,Rural
352,1.0,1,0,1,0.0,5817,910,109.0,360.0,1.0,Urban
353,1.0,1,0,1,0.0,5119,3769,120.0,360.0,1.0,Rural
354,1.0,1,3+,0,0.0,5316,187,158.0,180.0,0.0,Semiurban
355,1.0,1,3+,1,0.0,7603,1213,197.0,360.0,1.0,Urban
356,1.0,1,1,1,0.0,3791,1936,85.0,360.0,1.0,Urban
357,1.0,0,0,1,0.0,2500,0,60.0,360.0,1.0,Urban
358,1.0,1,2,0,0.0,3132,0,76.0,360.0,,Rural
359,1.0,0,0,1,0.0,4000,2667,152.0,360.0,1.0,Semiurban
360,0.0,1,0,1,0.0,8550,4255,96.0,360.0,,Urban
361,1.0,1,1,1,0.0,2269,2167,99.0,360.0,1.0,Semiurban
362,1.0,1,3+,0,1.0,4009,1777,113.0,360.0,1.0,Urban
363,1.0,1,0,1,0.0,4158,709,115.0,360.0,1.0,Urban
364,1.0,0,0,1,0.0,3250,1993,126.0,360.0,,Semiurban
365,1.0,1,0,1,0.0,5000,2393,158.0,360.0,1.0,Rural
366,1.0,0,0,1,1.0,9200,0,98.0,180.0,1.0,Rural
